iter	Passed	Remaining
1055	86401	159057
1056	86485	158979
1057	86570	158902
1058	86651	158820
1059	86740	158752
1060	86825	158674
1061	86915	158608
1062	87000	158532
1063	87078	158443
1064	87164	158368
1065	87251	158297
1066	87338	158224
1067	87431	158162
1068	87518	158089
1069	87601	158009
1070	87692	157944
1071	87761	157839
1072	87845	157762
1073	87935	157693
1074	88019	157616
1075	88104	157540
1076	88188	157461
1077	88266	157373
1078	88342	157281
1079	88409	157173
1080	88495	157098
1081	88585	157030
1082	88677	156966
1083	88767	156898
1084	88860	156835
1085	88956	156778
1086	89040	156701
1087	89128	156630
1088	89221	156567
1089	89313	156503
1090	89407	156441
1091	89506	156390
1092	89600	156329
1093	89698	156275
1094	89786	156204
1095	89869	156123
1096	89955	156048
1097	90040	155971
1098	90126	155896
1099	90211	155819
1100	90304	155756
1101	90386	155673
1102	90475	155605
1103	90558	155523
1104	90643	155446
1105	90735	155382
1106	90825	155314
1107	90911	155239
1108	91007	155181
1109	91088	155096
1110	91173	155019
1111	91255	154938
1112	91338	154856
1113	91418	154771
1114	91504	154695
1115	91583	154608
1116	91650	154501
1117	91727	154410
1118	91806	154323
1119	91891	154245
1120	91978	154172
1121	92055	154082
1122	92134	153994
1123	92217	153914
1124	92305	153843
1125	92390	153766
1126	92484	153703
1127	92575	153635
1128	92665	153566
1129	92749	153488
1130	92829	153403
1131	92910	153319
1132	92995	153241
1133	93077	153159
1134	93160	153078
1135	93245	153001
1136	93326	152916
1137	93414	152845
1138	93504	152775
1139	93591	152701
1140	93676	152623
1141	93761	152546
1142	93852	152479
1143	93946	152416
1144	94042	152356
1145	94138	152296
1146	94229	152229
1147	94320	152162
1148	94404	152081
1149	94496	152015
1150	94586	151947
1151	94683	151887
1152	94772	151816
1153	94862	151747
1154	94945	151665
1155	95026	151582
1156	95108	151499
1157	95190	151416
1158	95269	151329
1159	95350	151246
1160	95434	151165
1161	95518	151087
1162	95607	151014
1163	95688	150931
1164	95772	150851
1165	95858	150776
1166	95944	150699
1167	96036	150632
1168	96125	150561
1169	96212	150486
1170	96296	150406
1171	96380	150327
1172	96468	150253
1173	96562	150189
1174	96645	150108
1175	96734	150037
1176	96815	149952
1177	96892	149862
1178	96973	149778
1179	97055	149696
1180	97139	149615
1181	97226	149540
1182	97321	149478
1183	97409	149405
1184	97498	149333
1185	97585	149258
1186	97669	149177
1187	97761	149111
1188	97836	149018
1189	97918	148934
1190	98006	148861
1191	98096	148791
1192	98176	148704
1193	98258	148622
1194	98342	148542
1195	98419	148452
1196	98502	148371
1197	98592	148300
1198	98677	148222
1199	98762	148143
1200	98857	148080
1201	98918	147966
1202	99005	147891
1203	99094	147819
1204	99178	147738
1205	99270	147671
1206	99347	147581
1207	99431	147501
1208	99521	147429
1209	99605	147350
1210	99690	147271
1211	99772	147189
1212	99848	147097
1213	99932	147018
1214	100007	146924
1215	100089	146842
1216	100174	146763
1217	100253	146676
1218	100337	146596
1219	100421	146516
1220	100501	146430
1221	100586	146351
1222	100675	146279
1223	100765	146208
1224	100852	146133
1225	100939	146057
1226	101021	145974
1227	101111	145902
1228	101195	145824
1229	101275	145737
1230	101360	145659
1231	101441	145574
1232	101533	145506
1233	101623	145434
1234	101702	145347
1235	101786	145268
1236	101868	145185
1237	101951	145104
1238	102035	145024
1239	102122	144948
1240	102199	144858
1241	102288	144784
1242	102370	144702
1243	102457	144626
1244	102549	144558
1245	102644	144493
1246	102738	144426
1247	102820	144344
1248	102899	144257
1249	102982	144176
1250	103067	144097
1251	103151	144016
1252	103235	143936
1253	103318	143855
1254	103414	143791
1255	103489	143699
1256	103569	143612
1257	103653	143533
1258	103742	143458
1259	103824	143377
1260	103907	143294
1261	103991	143214
1262	104083	143145
1263	104176	143078
1264	104262	143000
1265	104344	142916
1266	104427	142836
1267	104508	142751
1268	104587	142663
1269	104688	142606
1270	104776	142532
1271	104871	142466
1272	104960	142392
1273	105043	142311
1274	105128	142232
1275	105209	142147
1276	105296	142072
1277	105380	141991
1278	105456	141900
1279	105539	141818
1280	105620	141734
1281	105727	141684
1282	105809	141601
1283	105898	141528
1284	105987	141454
1285	106070	141371
1286	106157	141296
1287	106243	141217
1288	106330	141141
1289	106409	141054
1290	106491	140971
1291	106582	140900
1292	106667	140821
1293	106756	140746
1294	106842	140668
1295	106918	140578
1296	107003	140498
1297	107079	140408
1298	107154	140315
1299	107237	140233
1300	107331	140165
1301	107421	140093
1302	107508	140017
1303	107589	139932
1304	107679	139859
1305	107763	139779
1306	107851	139703
1307	107936	139624
1308	108016	139538
1309	108100	139458
1310	108192	139387
1311	108271	139300
1312	108354	139218
1313	108434	139133
1314	108515	139048
1315	108585	138950
1316	108663	138862
1317	108745	138778
1318	108832	138701
1319	108924	138631
1320	109014	138558
1321	109101	138480
1322	109206	138427
1323	109297	138355
1324	109385	138279
1325	109471	138201
1326	109555	138120
1327	109641	138042
1328	109731	137969
1329	109830	137907
1330	109927	137843
1331	110028	137783
1332	110120	137713
1333	110204	137631
1334	110289	137552
1335	110372	137469
1336	110453	137385
1337	110537	137305
1338	110623	137226
1339	110709	137147
1340	110792	137065
1341	110875	136983
1342	110958	136901
1343	111041	136818
1344	111124	136736
1345	111210	136658
1346	111291	136574
1347	111369	136485
1348	111452	136402
1349	111534	136319
1350	111605	136222
1351	111686	136138
1352	111766	136053
1353	111850	135971
1354	111932	135889
1355	112015	135806
1356	112094	135720
1357	112179	135639
1358	112271	135568
1359	112359	135492
1360	112439	135406
1361	112521	135323
1362	112604	135241
1363	112693	135165
1364	112780	135089
1365	112862	135005
1366	112942	134919
1367	113024	134835
1368	113111	134758
1369	113185	134665
1370	113266	134581
1371	113348	134498
1372	113432	134416
1373	113521	134342
1374	113606	134262
1375	113685	134175
1376	113775	134101
1377	113865	134027
1378	113954	133952
1379	114039	133872
1380	114127	133796
1381	114209	133713
1382	114287	133624
1383	114369	133541
1384	114457	133464
1385	114541	133383
1386	114638	133318
1387	114723	133237
1388	114801	133149
1389	114886	133070
1390	114961	132978
1391	115042	132894
1392	115126	132812
1393	115204	132724
1394	115291	132647
1395	115369	132559
1396	115452	132476
1397	115532	132391
1398	115615	132309
1399	115703	132232
1400	115784	132147
1401	115866	132064
1402	115949	131982
1403	116033	131901
1404	116117	131820
1405	116204	131742
1406	116289	131662
1407	116369	131577
1408	116452	131494
1409	116527	131403
1410	116605	131315
1411	116687	131231
1412	116777	131157
1413	116863	131079
1414	116943	130993
1415	117014	130897
1416	117097	130814
1417	117176	130729
1418	117265	130652
1419	117353	130576
1420	117436	130493
1421	117523	130416
1422	117605	130333
1423	117692	130255
1424	117778	130176
1425	117861	130094
1426	117946	130013
1427	118029	129931
1428	118106	129842
1429	118186	129757
1430	118275	129682
1431	118360	129601
1432	118446	129522
1433	118527	129437
1434	118610	129355
1435	118690	129270
1436	118785	129201
1437	118867	129117
1438	118949	129034
1439	119042	128962
1440	119132	128888
1441	119221	128811
1442	119303	128728
1443	119404	128666
1444	119491	128588
1445	119584	128515
1446	119673	128440
1447	119768	128370
1448	119854	128291
1449	119938	128209
1450	120012	128118
1451	120095	128035
1452	120174	127949
1453	120255	127864
1454	120334	127777
1455	120417	127695
1456	120503	127615
1457	120583	127530
1458	120667	127449
1459	120756	127373
1460	120846	127298
1461	120922	127208
1462	121006	127126
1463	121090	127046
1464	121176	126966
1465	121257	126882
1466	121340	126799
1467	121424	126718
1468	121508	126637
1469	121586	126549
1470	121666	126463
1471	121745	126377
1472	121824	126290
1473	121906	126207
1474	121983	126118
1475	122065	126034
1476	122148	125952
1477	122240	125879
1478	122327	125800
1479	122401	125709
1480	122480	125622
1481	122566	125543
1482	122650	125462
1483	122730	125377
1484	122810	125291
1485	122892	125207
1486	122976	125127
1487	123074	125059
1488	123157	124977
1489	123248	124902
1490	123324	124813
1491	123399	124723
1492	123479	124637
1493	123556	124548
1494	123638	124465
1495	123718	124380
1496	123808	124304
1497	123897	124227
1498	123981	124146
1499	124065	124065
1500	124148	123983
1501	124233	123902
1502	124309	123813
1503	124394	123732
1504	124468	123641
1505	124549	123557
1506	124631	123473
1507	124714	123391
1508	124791	123303
1509	124873	123219
1510	124958	123139
1511	125037	123053
1512	125119	122969
1513	125199	122884
1514	125283	122802
1515	125364	122718
1516	125439	122627
1517	125519	122542
1518	125605	122463
1519	125691	122383
1520	125780	122307
1521	125862	122223
1522	125952	122147
1523	126039	122069
1524	126128	121992
1525	126219	121918
1526	126311	121844
1527	126398	121766
1528	126475	121677
1529	126549	121587
1530	126627	121499
1531	126706	121413
1532	126792	121333
1533	126873	121249
1534	126952	121163
1535	127040	121085
1536	127124	121003
1537	127206	120920
1538	127289	120838
1539	127377	120760
1540	127450	120668
1541	127528	120581
1542	127610	120497
1543	127695	120417
1544	127764	120321
1545	127846	120238
1546	127931	120157
1547	128013	120074
1548	128091	119987
1549	128172	119903
1550	128255	119821
1551	128327	119728
1552	128414	119649
1553	128497	119567
1554	128576	119480
1555	128654	119394
1556	128737	119311
1557	128826	119234
1558	128906	119150
1559	128994	119072
1560	129083	118995
1561	129171	118917
1562	129256	118836
1563	129320	118736
1564	129401	118652
1565	129482	118568
1566	129561	118482
1567	129644	118399
1568	129728	118318
1569	129808	118233
1570	129891	118151
1571	129984	118077
1572	130063	117991
1573	130135	117898
1574	130211	117810
1575	130290	117724
1576	130356	117626
1577	130434	117539
1578	130491	117434
1579	130575	117352
1580	130658	117270
1581	130731	117179
1582	130821	117102
1583	130896	117013
1584	130981	116933
1585	131064	116850
1586	131138	116760
1587	131221	116678
1588	131299	116591
1589	131381	116507
1590	131437	116402
1591	131518	116317
1592	131599	116233
1593	131677	116147
1594	131751	116057
1595	131837	115977
1596	131922	115896
1597	132006	115815
1598	132085	115729
1599	132153	115634
1600	132239	115554
1601	132313	115464
1602	132399	115384
1603	132482	115302
1604	132567	115222
1605	132656	115145
1606	132733	115057
1607	132806	114967
1608	132881	114877
1609	132959	114790
1610	133044	114710
1611	133126	114627
1612	133208	114544
1613	133294	114464
1614	133376	114381
1615	133456	114296
1616	133538	114213
1617	133618	114129
1618	133702	114047
1619	133791	113970
1620	133870	113885
1621	133966	113813
1622	134054	113735
1623	134112	113632
1624	134198	113552
1625	134283	113472
1626	134357	113381
1627	134432	113293
1628	134514	113210
1629	134600	113130
1630	134673	113040
1631	134758	112959
1632	134834	112871
1633	134918	112789
1634	135003	112709
1635	135082	112623
1636	135157	112534
1637	135229	112443
1638	135310	112359
1639	135397	112280
1640	135478	112197
1641	135560	112113
1642	135645	112033
1643	135726	111949
1644	135753	111821
1645	135834	111737
1646	135918	111656
1647	135999	111572
1648	136074	111483
1649	136163	111406
1650	136247	111324
1651	136332	111244
1652	136412	111160
1653	136492	111075
1654	136572	110991
1655	136654	110907
1656	136702	110797
1657	136788	110717
1658	136862	110628
1659	136942	110544
1660	137032	110467
1661	137110	110381
